timestamp,tmv_x,tmv_y,tmv_z,twv_x,twv_y,twv_z
1554967302.488778,9.994175911,-9.102851868,0.1138749272,,,
1554967302.690506,10.00778866,-9.150343895,0.1147260591,,,
1554967302.892234,10.02878475,-9.206431389,0.1136052385,,,
1554967303.093949,10.05431271,-9.273533821,0.1123397052,,,
1554967303.295651,10.08426762,-9.356966972,0.1136525124,,,
1554967303.49738,10.11909103,-9.450849533,0.1135430261,,,
1554967303.69912,10.15734005,-9.540873528,0.1114166975,,,
1554967303.900797,10.189641,-9.630719185,0.1167542413,,,
1554967304.102538,10.22347641,-9.722464561,0.1238978803,,,
1554967304.30424,10.25983047,-9.804617882,0.1230717003,,,
1554967304.505968,10.29794979,-9.877031326,0.1171477735,,,
1554967304.909399,10.35851383,-10.02247334,0.1125322729,,,
1554967305.312842,10.4063921,-10.1596117,0.09851441532,,,
1554967305.716285,10.45087528,-10.29419899,0.08064353466,,,
1554967306.119728,10.50366116,-10.41708279,0.07973389328,,,
1554967306.523159,10.53874969,-10.54022694,0.09546744823,,,
1554967306.724925,10.55527973,-10.60139179,0.09976257384,,,
1554967306.926576,10.57877731,-10.65697193,0.1075055972,,,
1554967307.330032,10.62236977,-10.78691864,0.1191064268,,,
1554967307.531773,10.63937283,-10.8602581,0.1268030703,,,
1554967307.935524,10.6843462,-10.99067307,0.1324579716,,,
1554967308.338621,10.72584248,-11.0800848,0.1255793273,,,
1554967308.742052,10.76845741,-11.17940331,0.1261103302,,,
1554967309.145482,10.81269932,-11.33080864,0.1254803836,,,
1554967309.548912,10.87712574,-11.49944687,0.1263079643,,,
1554967309.952343,10.92779446,-11.65515232,0.1469974518,,,
1554967310.355812,10.9577322,-11.7943058,0.1669277996,,,
1554967310.759216,11.00101185,-11.91175938,0.1557870507,,,
1554967311.162647,11.06849575,-12.04461098,0.1391967237,,,
1554967311.566077,11.14476013,-12.18046665,0.1614076942,,,
1554967311.96952,11.19553566,-12.32069778,0.1820440292,,,
1554967312.171236,11.21921444,-12.39628315,0.1856022328,,,
1554967312.574717,11.26869106,-12.53133202,0.1779589951,,,
1554967312.978109,11.31301212,-12.67419243,0.1751729995,,,
1554967313.38154,11.36354733,-12.83360386,0.1662689447,,,
1554967313.784983,11.4159174,-12.99119091,0.1669730395,,,
1554967314.188643,11.46896172,-13.12043095,0.1687975675,,,
1554967314.591856,11.52985001,-13.2587719,0.1749742031,,,
1554967314.9953,11.59770298,-13.39161777,0.179242909,,,
1554967315.398743,11.66089249,-13.53545189,0.1738179326,,,
1554967315.802199,11.69971085,-13.69299698,0.1658495665,,,
1554967316.003914,11.7207613,-13.77251053,0.1675481796,,,
1554967316.205616,11.74312401,-13.84344959,0.1658931524,,,
1554967316.609047,11.78706074,-13.97576714,0.1631423235,,,
1554967317.012516,11.84310341,-14.10681152,0.172088623,,,
1554967317.415895,11.8886404,-14.23338318,0.1763265133,,,
1554967317.819351,11.91146851,-14.35877037,0.1804323494,,,
1554967318.021079,11.92690277,-14.41400337,0.1821179837,,,
1554967318.222768,11.946311,-14.47490597,0.1793591231,,,
1554967318.626224,11.97547722,-14.58925819,0.1713775545,,,
1554967318.82794,11.99083614,-14.64025211,0.1728395522,,,
1554967319.231434,12.01639462,-14.75623417,0.1837801784,,,
1554967319.634813,12.04787254,-14.86146355,0.1894639134,,,
1554967320.239971,12.08179188,-14.98005104,0.1877317429,,,
1554967320.643376,12.10387135,-15.08779716,0.1962659806,,,
1554967320.845117,12.12070751,-15.15395069,0.2001291662,,,
1554967321.04728,12.14189053,-15.22704887,0.2063164562,,,
1554967321.24856,12.17198563,-15.302001,0.2118742913,,,
1554967321.450275,12.19772053,-15.37547684,0.2209924161,,,
1554967321.651978,12.21852207,-15.44015598,0.2247324437,,,
1554967321.853693,12.24735832,-15.50739384,0.2283673882,,,
1554967322.055408,12.2805481,-15.57234097,0.2314759046,,,
1554967322.257213,12.31129169,-15.62983418,0.2329164445,,,
1554967322.660592,12.37377167,-15.73710251,0.2370491624,,,
1554967323.06401,12.41873837,-15.84361076,0.2402774692,,,
1554967323.467427,12.4574213,-15.95706654,0.2346524,,,
1554967323.870871,12.47805119,-16.06541252,0.2185256779,,,
1554967324.274404,12.50105,-16.16229439,0.2105620652,,,
1554967324.678103,12.53571606,-16.25661659,0.2239697576,,,
1554967325.081175,12.55329037,-16.34557915,0.2351630628,,,
1554967325.484618,12.57186985,-16.4157753,0.2330500931,,,
1554967326.089763,12.62714195,-16.53598785,0.2334401309,,,
1554967326.493207,12.67741394,-16.64634514,0.2431157678,,,
1554967326.694922,12.70006657,-16.71209145,0.2545712292,,,
1554967326.89665,12.71979237,-16.77676392,0.2567812502,,,
1554967327.098416,12.7461071,-16.84072113,0.2593040466,,,
1554967327.300106,12.77716255,-16.908041,0.2618365288,,,
1554967327.501796,12.80938721,-16.98247528,0.2658258975,,,
1554967327.703549,12.84460735,-17.06178856,0.2757135332,,,
1554967327.905226,12.87756443,-17.1411953,0.275080055,,,
1554967328.106941,12.90859318,-17.21965218,0.2647048533,,,
1554967328.308682,12.9362154,-17.2976284,0.2580454648,,,
1554967328.712087,12.99336433,-17.44378853,0.2652899027,,,
1554967329.115556,13.04020119,-17.59288979,0.2691374719,,,
1554967329.51896,13.09816933,-17.73097801,0.2542565465,,,
1554967329.922404,13.16150761,-17.87146759,0.2347469628,,,
1554967330.325847,13.2351799,-18.00414276,0.2341547906,,,
1554967330.72929,13.29011917,-18.11808395,0.2510083914,,,
1554967331.132912,13.34440231,-18.22737312,0.2672742009,,,
1554967331.536202,13.40321255,-18.34145546,0.2649903893,,,
1554967331.939594,13.46193886,-18.47451401,0.2714491785,,,
1554967332.34305,13.51247215,-18.62248611,0.2860284448,,,
1554967332.746455,13.5779953,-18.76656151,0.2878822684,,,
1554967332.94817,13.61641979,-18.83215714,0.2774372399,,,
1554967333.351626,13.6883564,-18.99044418,0.274633348,,,
1554967333.755044,13.75848103,-19.1302166,0.2841710746,,,
1554967334.158487,13.80054855,-19.25252342,0.2858022451,,,
1554967334.561917,13.83214664,-19.39255333,0.2787268162,,,
1554967334.965348,13.8836298,-19.5414753,0.2792308927,,,
1554967335.368804,13.93548393,-19.69286346,0.2772006094,,,
1554967335.773079,14.0093956,-19.8313446,0.2799773216,,,
1554967335.973936,14.04973507,-19.89334869,0.2871676981,,,
1554967336.377367,14.11692047,-20.03136253,0.2946277857,,,
1554967336.78081,14.15995312,-20.16720963,0.301825285,,,
1554967337.184253,14.19918156,-20.31162834,0.3102305233,,,
1554967337.587965,14.25203896,-20.46787262,0.3014070392,,,
1554967337.991127,14.30416107,-20.61188316,0.2956799865,,,
1554967338.394557,14.35794258,-20.73830032,0.3169471622,,,
1554967338.798026,14.42301083,-20.84469223,0.3403204978,,,
1554967339.201469,14.48514271,-20.97119713,0.3474053442,,,
1554967339.604874,14.52620316,-21.12233925,0.3141944408,,,
1554967340.008304,14.56594944,-21.27622604,0.2691582739,,,
1554967340.411799,14.62927818,-21.42285156,0.2564833462,,,
1554967340.815165,14.69202805,-21.57567024,0.2829220295,,,
1554967341.218608,14.74575996,-21.71554756,0.3110755682,,,
1554967341.622039,14.79035664,-21.84293175,0.3230794966,,,
1554967342.025482,14.82516098,-21.94983101,0.3313045502,,,
1554967342.428912,14.87268829,-22.07373047,0.3388127983,,,
1554967342.630628,14.89926624,-22.14080429,0.3500347733,,,
1554967343.034071,14.9554224,-22.27267647,0.3474396467,,,
1554967343.437501,15.01894474,-22.43108368,0.3397200406,,,
1554967343.639216,15.05764961,-22.51749611,0.3364273608,,,
1554967344.042647,15.13670731,-22.669981,0.3378519714,,,
1554967344.446077,15.2034359,-22.82565498,0.3585237563,,,
1554967344.84952,15.25302219,-22.97086334,0.3586143553,,,
1554967345.252951,15.2814045,-23.10522461,0.3562226892,,,
1554967345.656407,15.30613327,-23.23479462,0.3550637066,,,
1554967346.059837,15.35731411,-23.35396385,0.3639013767,,,
1554967346.463268,15.41226292,-23.48264122,0.37300089,,,
1554967346.866698,15.47667408,-23.61904144,0.3733482361,,,
1554967347.270167,15.53942108,-23.76454163,0.3762071133,,,
1554967347.673572,15.58818626,-23.91346169,0.3806045949,,,
1554967348.077002,15.63823414,-24.05730438,0.3801295161,,,
1554967348.480445,15.67971992,-24.21081352,0.3705560565,,,
1554967348.883876,15.71353436,-24.3723793,0.3685795963,,,
1554967349.287319,15.76634789,-24.51251602,0.3757452667,,,
1554967349.69185,15.83588409,-24.63863373,0.3995925188,,,
1554967349.892515,15.86487675,-24.6934948,0.4114254713,,,
